Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BAAt,c1(B)c(B)c(B)c(B)c(B)c1(C#C([At])),At,BH2,BH2,BH2,50.3,2.115180223,2.0944,3.14,-3.787,1.2148,16.776,5.035,C1,2.1319,0.0375,2.6,-0.54,-1.011,1.2176,0.0028,16.502,-0.274,5.957,2.8644,0.292,-16.652,0.0236,0.0182,-0.000921,-0.0173,0.0764,0.000921,1.48E-06,-0.0236,-11.19,-10.8571907,-10.6,-10.26768534,0.328959933,0.003354729,,-0.05722
2-3-4-5-6-ClBAAt,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(C#C([At])),At,Cl,Cl,Cl,52.5,2.108816474,2.0949,3.136,-2.73,1.2132,16.955,3.463,C1,2.1343,0.0394,2.566,-0.57,0.503,1.2158,0.0026,16.697,-0.258,4.029,2.8535,0.294,-16.492,0.024079968,0.01858959,-0.000875821,-0.01771377,0.077862788,0.000875821,1.38E-06,-0.024079968,-11.61,-11.24382416,-11.01,-10.64534118,0.361363896,0.003294927,0.77,-0.05977
2-3-4-5-6-CNBAAt,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(C#C([At])),At,CN,CN,CN,65.5,2.092628176,2.0919,3.091,-10.004,1.2144,16.783,8.924,C1,2.1408,0.0489,2.362,-0.729,-6.838,1.2181,0.0037,16.421,-0.362,9.936,2.7921,0.32,-17.016,0.027239619,0.02115709,-0.000544185,-0.020612905,0.086806477,0.000544185,1.12E-06,-0.027239619,-14.28,-13.74926251,-13.64,-13.10773326,0.52974352,0.002523216,NAN,-0.07415
2-3-4-5-6-FBAAt,c1(F)c(F)c(F)c(F)c(F)c1(C#C([At])),At,F,F,F,53.3,2.106867506,2.0958,3.129,-1.882,1.2129,17.01,2.465,C1,2.1357,0.0399,2.556,-0.573,1.431,1.2155,0.0026,16.755,-0.255,2.865,2.8504,0.296,-15.95,0.024226231,0.018711297,-0.000861917,-0.01784938,0.078294013,0.000861917,2.30E-06,-0.024226231,-11.72,-11.35646211,-11.12,-10.75762845,0.358960534,0.003411016,16.57,-0.06054
2-3-4-5-6-NH2BAAt,c1(N)c(N)c(N)c(N)c(N)c1(C#C([At])),At,NH2,NH2,NH2,45.2,2.121781608,2.0993,3.146,5.204,1.2179,16.508,-3.264,C1,2.1343,0.035,2.657,-0.489,8.431,1.2197,0.0018,16.349,-0.159,-2.898,2.8869,0.283,-16.262,0.0226,0.0173,-0.001,-0.0163,0.0734,0.001,2.19E-06,-0.0226,-10.24,-9.950815104,-9.7,-9.406375315,0.289593124,0.00403156,14.85,-0.05333
2-3-4-5-6-OHBAAt,c1(O)c(O)c(O)c(O)c(O)c1(C#C([At])),At,OH,OH,OH,54.1,2.109841715,2.0997,3.121,3.497,1.2185,16.472,-2.299,C1,2.1396,0.0399,2.553,-0.568,7.026,1.2206,0.0021,16.283,-0.189,-1.998,2.852,0.294,-16.284,0.0242,0.0186,-0.000863,-0.0178,0.078,0.000863,4.85E-10,-0.0242,-11.71,-11.33562566,-11.14,-10.76920156,0.367865522,0.002932917,16.62,-0.06073
2-3-4-5-6-SHBAAt,c1(S)c(S)c(S)c(S)c(S)c1(C#C([At])),At,SH,SH,SH,54.6,2.108685238,2.0984,3.125,1.028,1.217,16.578,0.146,C1,2.1389,0.0405,2.542,-0.583,4.643,1.2194,0.0024,16.361,-0.217,0.535,2.8464,0.295,-16.909,0.0244,0.0189,-0.000839,-0.018,0.0788,0.000839,6.07E-07,-0.0244,-11.92,-11.54822902,-11.33,-10.95434351,0.372784569,0.002871923,,-0.06183
2-3-5-6-BH2BAAt,c1(B)c(B)cc(B)c(B)c1(C#C([At])),At,BH2,BH2,H,50.1,2.113573762,2.0979,3.128,0.255,1.2162,16.698,0.903,C1,2.1361,0.0382,2.585,-0.543,3.558,1.2187,0.0025,16.461,-0.237,1.263,2.862,0.292,-16.26,0.0237,0.0183,-0.000912,-0.0173,0.0767,0.000912,1.48E-06,-0.0237,-11.22,-10.87716408,-10.64,-10.29426542,0.342037858,0.003696721,16.09,-0.05837
2-3-5-6-ClBAAt,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(C#C([At])),At,Cl,Cl,H,51.7,2.109755454,2.0948,3.138,-2.722,1.2132,16.961,3.475,C1,2.1338,0.039,2.575,-0.563,0.482,1.2158,0.0026,16.702,-0.259,3.978,2.8561,0.294,-16.261,0.023953918,0.01848917,-0.000888509,-0.017600661,0.077511855,0.000888509,7.50E-07,-0.023953918,-11.48,-11.13230317,-10.88,-10.53324986,0.343291622,0.003458519,16.31,-0.05931
2-3-5-6-CN-4-CF3BAAt,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(C#C([At])),At,CN,CN,CF3,63.7,2.093953276,2.0922,3.094,-9.014,1.2141,16.826,8.167,C1,2.1402,0.048,2.38,-0.714,-5.778,1.2176,0.0035,16.475,-0.351,9.025,2.7976,0.316,-16.74,0.02693164,0.020913346,-0.000582621,-0.020330725,0.08598522,0.000582621,4.62E-07,-0.02693164,-14.01,-13.49046504,-13.36,-12.84349599,0.513785953,0.002718057,62.54,-0.07296
