Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BABr,c1(B)c(B)c(B)c(B)c(B)c1(C#C(Br)),Br,BH2,BH2,BH2,31.2,1.99506018,1.7949,4.571,-7.925,1.2123,17.03,6.181,C1,1.8059,0.011,4.214,-0.357,-6.995,1.2139,0.0016,16.865,-0.165,7.322,2.9134,0.187,-11.522,0.0172,0.0125,-0.00143,-0.0111,0.0558,0.00143,2.32E-06,-0.0172,-5.64,-5.586065033,-5.17,-5.116883454,0.052005477,0.001111068,0.23,-0.02392
2-3-4-5-6-ClBABr,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(C#C(Br)),Br,Cl,Cl,Cl,33.1,1.992262409,1.7939,4.554,-7.079,1.2106,17.208,4.729,C1,1.8057,0.0118,4.153,-0.401,-5.796,1.2122,0.0016,17.053,-0.155,5.572,2.904,0.173,-11.488,0.017487588,0.012754807,-0.001430123,-0.011324684,0.056739723,0.001430123,8.30E-07,-0.017487588,-5.9,-5.846131765,-5.43,-5.377050435,0.052704523,0.000245042,83.98,-0.0253
2-3-4-5-6-CNBABr,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(C#C(Br)),Br,CN,CN,CN,45.6,1.9794847,1.7857,4.625,-12.575,1.2118,17.048,9.709,C1,1.7999,0.0142,4.094,-0.531,-11.354,1.2141,0.0023,16.816,-0.232,11.024,2.8418,0.206,-11.988,0.019855499,0.014427895,-0.001409263,-0.013018632,0.063348633,0.001409263,2.68E-06,-0.019855499,-7.75,-7.670722313,-7.24,-7.158888561,0.081438183,-0.000326744,NAN,-0.03286
2-3-4-5-6-FBABr,c1(F)c(F)c(F)c(F)c(F)c1(C#C(Br)),Br,F,F,F,33.9,1.99052372,1.7943,4.552,-6.225,1.2104,17.264,3.735,C1,1.8066,0.0123,4.14,-0.412,-4.827,1.212,0.0016,17.111,-0.153,4.425,2.9005,0.173,-11.197,0.017604754,0.012841012,-0.001431833,-0.011409179,0.057091379,0.001431833,2.96E-06,-0.017604754,-5.99,-5.933173608,-5.52,-5.463280232,0.05649468,0.000225088,6.63,-0.02584
2-3-4-5-6-NH2BABr,c1(N)c(N)c(N)c(N)c(N)c1(C#C(Br)),Br,NH2,NH2,NH2,26.2,2.000209297,1.802,4.472,-0.978,1.2154,16.749,-1.587,C1,1.8129,0.0109,4.139,-0.333,0.395,1.2164,0.001,16.669,-0.08,-1.008,2.9383,0.167,-11.432,0.0163,0.0119,-0.00142,-0.0105,0.0533,0.00142,2.84E-06,-0.0163,-4.94,-4.892731481,-4.5,-4.449432272,0.049554425,0.001013302,5.9,-0.02211
2-3-4-5-6-OHBABr,c1(O)c(O)c(O)c(O)c(O)c1(C#C(Br)),Br,OH,OH,OH,34.7,1.991804354,1.7993,4.498,-2.258,1.216,16.712,-0.724,C1,1.8116,0.0123,4.096,-0.402,-0.668,1.2172,0.0012,16.611,-0.101,-0.18,2.9036,0.172,-11.52,0.0175,0.0128,-0.00143,-0.0113,0.0567,0.00143,2.11E-06,-0.0175,-5.95,-5.890785341,-5.49,-5.42714595,0.06277605,7.80E-05,6.64,-0.02584
2-3-4-5-6-SHBABr,c1(S)c(S)c(S)c(S)c(S)c1(C#C(Br)),Br,SH,SH,SH,35,1.99165744,1.798,4.51,-4.299,1.2145,16.826,1.642,C1,1.8104,0.0124,4.1,-0.41,-2.696,1.2158,0.0013,16.705,-0.121,2.291,2.8977,0.173,-11.951,0.0177,0.0129,-0.00143,-0.0115,0.0574,0.00143,1.23E-06,-0.0177,-6.09,-6.034139886,-5.62,-5.560490262,0.059506726,3.01E-06,344.97,-0.02608
2-3-5-6-BH2BABr,c1(B)c(B)cc(B)c(B)c1(C#C(Br)),Br,BH2,BH2,H,30.9,1.994210812,1.7978,4.508,-4.654,1.2137,16.945,2.279,C1,1.8094,0.0116,4.13,-0.378,-3.268,1.2152,0.0015,16.807,-0.138,2.906,2.9135,0.171,-11.391,0.0172,0.0125,-0.00143,-0.0111,0.0558,0.00143,5.49E-07,-0.0172,-5.62,-5.55946911,-5.15,-5.092269314,0.057243927,0.000486759,6.38,-0.02461
2-3-5-6-ClBABr,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(C#C(Br)),Br,Cl,Cl,H,32.4,1.992051763,1.794,4.552,-6.929,1.2106,17.213,4.709,C1,1.8058,0.0118,4.156,-0.396,-5.644,1.2122,0.0016,17.057,-0.156,5.492,2.9065,0.172,-11.355,0.017398425,0.012691414,-0.001430304,-0.01126111,0.056486872,0.001430304,5.97E-07,-0.017398425,-5.82,-5.767806029,-5.35,-5.297554262,0.052108389,0.000337349,6.5,-0.02516
2-3-5-6-CN-4-CF3BABr,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(C#C(Br)),Br,CN,CN,CF3,43.8,1.980874108,1.7863,4.619,-11.713,1.2114,17.09,8.994,C1,1.8003,0.014,4.1,-0.519,-10.429,1.2137,0.0023,16.864,-0.226,10.17,2.847,0.202,-11.836,0.019639096,0.014281346,-0.001415141,-0.012866205,0.062785951,0.001415141,4.19E-07,-0.019639096,-7.56,-7.480009626,-7.05,-6.969572547,0.080697722,-0.000270268,38.31,-0.0323
