Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BACl,c1(B)c(B)c(B)c(B)c(B)c1(C#C(Cl)),Cl,BH2,BH2,BH2,23.2,1.915363521,1.646,5.509,-9.328,1.2106,17.207,6.787,C1,1.6488,0.0028,5.298,-0.211,-9.223,1.2119,0.0013,17.08,-0.127,8.035,2.9813,0.125,-6.214,0.0129,0.00954,-0.00162,-0.00792,0.0446,0.00162,1.50E-06,-0.0129,-3.39,-3.37751209,-3.05,-3.037360076,0.012178704,0.000461219,0.96,-0.00985
2-3-4-5-6-ClBACl,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(C#C(Cl)),Cl,Cl,Cl,Cl,25.2,1.912469,1.6444,5.547,-8.632,1.2089,17.39,5.42,C1,1.6477,0.0033,5.335,-0.212,-8.275,1.2102,0.0013,17.27,-0.12,6.443,2.9667,0.127,-6.414,0.0133,0.00983,-0.00166,-0.00817,0.046,0.00166,4.47E-06,-0.0133,-3.62,-3.61,-3.27,-3.261703069,0.008684732,-0.000387801,115.55,-0.01058
2-3-4-5-6-CNBACl,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(C#C(Cl)),Cl,CN,CN,CN,37.6,1.900900838,1.6351,5.693,-12.75,1.21,17.247,9.941,C1,1.6387,0.0036,5.415,-0.278,-12.496,1.2118,0.0018,17.063,-0.184,11.399,2.9086,0.159,-6.446,0.015,0.0111,-0.00182,-0.00927,0.0517,0.00182,2.30E-06,-0.015,-5.13,-5.110903984,-4.76,-4.744604117,0.015392808,3.07E-06,NAN,-0.01421
2-3-4-5-6-FBACl,c1(F)c(F)c(F)c(F)c(F)c1(C#C(Cl)),Cl,F,F,F,25.8,1.912716458,1.6446,5.549,-7.837,1.2087,17.444,4.433,C1,1.6481,0.0035,5.329,-0.22,-7.388,1.2099,0.0012,17.325,-0.119,5.326,2.964,0.128,-6.338,0.0134,0.00988,-0.00167,-0.00821,0.0462,0.00167,1.44E-06,-0.0134,-3.68,-3.672175303,-3.34,-3.329746746,0.010661387,-0.000408132,3,-0.01094
2-3-4-5-6-NH2BACl,c1(N)c(N)c(N)c(N)c(N)c1(C#C(Cl)),Cl,NH2,NH2,NH2,18.3,1.920253441,1.6535,5.405,-4.032,1.2137,16.924,-0.453,C1,1.6567,0.0032,5.223,-0.182,-3.581,1.2144,0.0007,16.866,-0.058,0.317,3.0035,0.109,-6.557,0.0124,0.00911,-0.00156,-0.00755,0.0427,0.00156,1.71E-06,-0.0124,-2.79,-2.782824914,-2.49,-2.477891451,0.012142309,-3.38E-05,2.63,-0.00911
2-3-4-5-6-OHBACl,c1(O)c(O)c(O)c(O)c(O)c1(C#C(Cl)),Cl,OH,OH,OH,26.7,1.913817652,1.6498,5.464,-4.918,1.2143,16.889,0.281,C1,1.6534,0.0036,5.247,-0.217,-4.343,1.2152,0.0009,16.814,-0.075,1.047,2.969,0.126,-6.653,0.0132,0.00978,-0.00165,-0.00813,0.0457,0.00165,3.17E-06,-0.0132,-3.63,-3.619426854,-3.3,-3.285818474,0.01452057,-0.000339043,2.99,-0.01086
2-3-4-5-6-SHBACl,c1(S)c(S)c(S)c(S)c(S)c1(C#C(Cl)),Cl,SH,SH,SH,26.8,1.913231241,1.6486,5.48,-6.564,1.2128,17.004,2.563,C1,1.6521,0.0035,5.261,-0.219,-5.998,1.2138,0.001,16.913,-0.091,3.425,2.9623,0.128,-6.903,0.0134,0.00993,-0.00167,-0.00826,0.0464,0.00167,1.13E-06,-0.0134,-3.75,-3.73537806,-3.4,-3.388938137,0.011489699,-0.000427836,195.34,-0.01087
2-3-5-6-BH2BACl,c1(B)c(B)cc(B)c(B)c1(C#C(Cl)),Cl,BH2,BH2,H,22.8,1.915521452,1.6485,5.478,-6.691,1.2121,17.121,3.098,C1,1.6517,0.0032,5.275,-0.203,-6.245,1.2132,0.0011,17.015,-0.106,3.924,2.9771,0.123,-6.505,0.013,0.00962,-0.00163,-0.00799,0.045,0.00163,1.65E-06,-0.013,-3.36,-3.345299329,-3.02,-3.006657517,0.013647704,-0.000305221,2.86,-0.01034
2-3-5-6-ClBACl,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(C#C(Cl)),Cl,Cl,Cl,H,24.4,1.91334,1.6446,5.543,-8.419,1.2089,17.394,5.376,C1,1.6478,0.0032,5.332,-0.211,-8.051,1.2102,0.0013,17.273,-0.121,6.342,2.9691,0.126,-6.405,0.0132,0.00978,-0.00166,-0.00813,0.0458,0.00166,1.80E-06,-0.0132,-3.55,-3.54,-3.2,-3.191459345,0.008910635,-0.00036998,2.92,-0.0106
2-3-5-6-CN-4-CF3BACl,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(C#C(Cl)),Cl,CN,CN,CF3,35.8,1.901868392,1.6357,5.689,-12.01,1.2096,17.287,9.27,C1,1.6393,0.0036,5.412,-0.277,-11.695,1.2114,0.0018,17.108,-0.179,10.6,2.9133,0.156,-6.484,0.0148,0.011,-0.00181,-0.00918,0.0512,0.00181,5.24E-07,-0.0148,-4.97,-4.953574802,-4.6,-4.583037038,0.017068258,-0.000105296,27.59,-0.01392
