Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BAI,c1(B)c(B)c(B)c(B)c(B)c1(C#C(I)),I,BH2,BH2,BH2,37.5,2.140446871,1.9959,3.612,-4.845,1.2143,16.828,5.149,C1,2.0188,0.0229,3.127,-0.485,-2.871,1.2163,0.002,16.62,-0.208,6.166,2.9352,0.194,15.205,0.0201,0.014,-0.000953,-0.013,0.0597,0.000953,6.34E-10,-0.0201,-7.94,-7.786711733,-7.37,-7.220585031,0.149332828,8.21E-05,,-0.04093
2-3-4-5-6-ClBAI,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(C#C(I)),I,Cl,Cl,Cl,39.4,2.137437649,1.9959,3.614,-3.878,1.2126,17.006,3.615,C1,2.0203,0.0244,3.096,-0.518,-1.475,1.2146,0.002,16.814,-0.192,4.305,2.9243,0.199,-15.209,0.02048602,0.014261453,-0.000918377,-0.013343076,0.060719366,0.000918377,9.79E-07,-0.02048602,-8.27,-8.108083884,-7.69,-7.528111962,0.15954429,0.002343748,2.77,-0.04301
2-3-4-5-6-CNBAI,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,CN,51.8,2.12263088,1.991,3.601,-10.798,1.2138,16.841,9.103,C1,2.0214,0.0304,2.918,-0.683,-8.42,1.2167,0.0029,16.555,-0.286,10.289,2.855,0.237,-16.034,0.02351965,0.016293907,-0.000633779,-0.015660128,0.067710837,0.000633779,2.40E-07,-0.02351965,-10.51,-10.25376477,-9.88,-9.62740515,0.250984975,0.001609876,NAN,-0.05545
2-3-4-5-6-FBAI,c1(F)c(F)c(F)c(F)c(F)c1(C#C(I)),I,F,F,F,40.1,2.135710482,1.9967,3.607,-3.059,1.2124,17.06,2.634,C1,2.0216,0.0249,3.082,-0.525,-0.545,1.2143,0.0019,16.871,-0.189,3.159,2.9202,0.201,-14.77,0.020642217,0.014371515,-0.00090781,-0.013463704,0.061117346,0.00090781,1.93E-06,-0.020642217,-8.38,-8.209062713,-7.81,-7.640367177,0.167181081,0.002451742,10.59,-0.04378
2-3-4-5-6-NH2BAI,c1(N)c(N)c(N)c(N)c(N)c1(C#C(I)),I,NH2,NH2,NH2,32.5,2.147042032,2.0014,3.598,3.699,1.2175,16.542,-3.208,C1,2.023,0.0216,3.164,-0.434,6.102,1.2187,0.0012,16.438,-0.104,-2.755,2.9651,0.18,-14.906,0.0189,0.0132,-0.00101,-0.0122,0.0568,0.00101,4.88E-07,-0.0189,-7.13,-6.992398348,-6.6,-6.463323097,0.133495743,0.003181159,9.28,-0.03736
2-3-4-5-6-OHBAI,c1(O)c(O)c(O)c(O)c(O)c1(C#C(I)),I,OH,OH,OH,41,2.137378453,2.0007,3.586,2.009,1.2181,16.508,-2.193,C1,2.0257,0.025,3.07,-0.516,4.738,1.2196,0.0015,16.378,-0.13,-1.794,2.9228,0.199,-15.119,0.0205,0.0143,-0.000911,-0.0134,0.0608,0.000911,7.71E-07,-0.0205,-8.35,-8.168240082,-7.8,-7.623203654,0.174763278,0.002033068,10.6,-0.04377
2-3-4-5-6-SHBAI,c1(S)c(S)c(S)c(S)c(S)c1(C#C(I)),I,SH,SH,SH,41.4,2.135786657,1.9994,3.593,-0.341,1.2165,16.622,0.265,C1,2.0246,0.0252,3.066,-0.527,2.442,1.2182,0.0017,16.467,-0.155,0.767,2.9164,0.203,-15.717,0.0208,0.0145,-0.000892,-0.0136,0.0615,0.000892,3.24E-06,-0.0208,-8.52,-8.342408482,-7.95,-7.77448371,0.173569128,0.001947162,,-0.04469
2-3-5-6-BH2BAI,c1(B)c(B)cc(B)c(B)c1(C#C(I)),I,BH2,BH2,H,37.2,2.140055648,1.9993,3.593,-1.034,1.2157,16.747,1.04,C1,2.0228,0.0235,3.103,-0.49,1.454,1.2175,0.0018,16.574,-0.173,1.512,2.9349,0.192,-14.967,0.0201,0.014,-0.000948,-0.013,0.0597,0.000948,1.18E-06,-0.0201,-7.94,-7.779333539,-7.38,-7.218573432,0.15872288,0.002703687,10.21,-0.04174
2-3-5-6-ClBAI,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(C#C(I)),I,Cl,Cl,H,38.7,2.137119832,1.9959,3.615,-3.834,1.2126,17.012,3.631,C1,2.02,0.0241,3.105,-0.51,-1.452,1.2146,0.002,16.819,-0.193,4.26,2.9274,0.197,-14.984,0.020358925,0.014175494,-0.000928855,-0.013246638,0.06041744,0.000928855,1.49E-07,-0.020358925,-8.17,-8.013304849,-7.6,-7.441142268,0.156375368,0.002482365,10.39,-0.04264
2-3-5-6-CN-4-CF3BAI,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,CF3,50.1,2.123841087,1.9915,3.6,-9.842,1.2135,16.883,8.355,C1,2.0214,0.0299,2.934,-0.666,-7.39,1.2162,0.0027,16.608,-0.275,9.384,2.8611,0.235,-15.782,0.023227361,0.016105584,-0.000667452,-0.015438132,0.067092227,0.000667452,7.61E-07,-0.023227361,-10.27,-10.02896576,-9.65,-9.404110214,0.244107471,0.001782315,50.05,-0.05443
2-3-5-6-CN-4-NO2BAI,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,NO2,51.8,2.122504088,1.991,3.599,-10.607,1.2137,16.856,8.946,C1,2.0216,0.0306,2.914,-0.685,-8.221,1.2166,0.0029,16.569,-0.287,10.098,2.8541,0.237,-15.931,0.023560765,0.016322134,-0.000629019,-0.015693115,0.067804702,0.000629019,6.70E-07,-0.023560765,-10.53,-10.27791761,-9.91,-9.652958994,0.255415192,0.001625814,76.03,-0.05582
2-3-5-6-CNBAI,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(C#C(I)),I,CN,CN,H,47.7,2.125208942,1.9924,3.602,-8.47,1.2133,16.92,7.242,C1,2.0213,0.0289,2.965,-0.637,-5.962,1.2158,0.0025,16.663,-0.257,8.124,2.8719,0.23,-15.556,0.022721507,0.01577556,-0.000723438,-0.015052121,0.065996069,0.000723438,1.60E-06,-0.022721507,-9.88,-9.655877481,-9.27,-9.042637871,0.225398275,0.001963854,12.38,-0.0523
2-3-5-6-F-4-CF3BAI,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(C#C(I)),I,F,F,CF3,42.8,2.132654504,1.9958,3.605,-4.771,1.2124,17.049,4.181,C1,2.0216,0.0258,3.053,-0.552,-2.29,1.2145,0.0021,16.84,-0.209,4.864,2.9077,0.209,-15.046,0.021160249,0.014720459,-0.000867243,-0.013853216,0.062350864,0.000867243,2.14E-06,-0.021160249,-8.78,-8.595752892,-8.2,-8.016026012,0.181889904,0.002084085,11.02,-0.04588
2-3-5-6-F-4-NO2BAI,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(C#C(I)),I,F,F,NO2,44.6,2.131417716,1.9954,3.604,-5.523,1.2126,17.035,4.784,C1,2.0219,0.0265,3.034,-0.57,-3.089,1.2147,0.0021,16.816,-0.219,5.594,2.8996,0.214,-15.234,0.021505967,0.014951642,-0.000836752,-0.01411489,0.063153632,0.000836752,3.55E-07,-0.021505967,-9.05,-8.852071697,-8.46,-8.265350569,0.192770919,0.001878512,11.31,-0.04729
