Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BAt,c1(B)c(B)c(B)c(B)c(B)c1([At]),At,BH2,BH2,BH2,26.9,2.217321865,2.2164,2.077,-15.751,C1,2.2242,0.0078,2.071,-0.006,-12.539,3.0282,0.182,-14.836,0.0179,0.0129,-0.00105,-0.0118,0.0557,0.00105,5.79E-07,-0.0179,-6.52,-6.399718136,-6.03,-5.907094483,0.118989606,0.00391591,9.12,-0.03827
2-3-4-5-6-ClBAt,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1([At]),At,Cl,Cl,Cl,40.4,2.159961068,2.1953,2.374,-5.902,C1,2.2226,0.0273,2.138,-0.236,-0.872,2.8942,0.264,-16.057,0.022638164,0.016981375,-0.000885695,-0.01609568,0.071469308,0.000885695,1.90E-06,-0.022638164,-9.61,-9.364966587,-9.07,-8.826898866,0.237079364,0.006021769,8.91,-0.05754
2-3-4-5-6-CNBAt,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1([At]),At,CN,CN,CN,59,2.132896012,2.1818,2.49,-9.166,C1,2.2199,0.0381,2.086,-0.404,-3.87,2.806,0.302,-16.442,0.027033426,0.020420343,-0.000440657,-0.019979687,0.083445289,0.000440657,1.14E-06,-0.027033426,-13.41,-13.02830241,-12.81,-12.42799274,0.377703616,0.004303648,126.21,-0.07733
2-3-4-5-6-FBAt,c1(F)c(F)c(F)c(F)c(F)c1([At]),At,F,F,F,44.2,2.150608074,2.1791,2.569,-3.61,C1,2.2091,0.03,2.272,-0.297,1.628,2.884,0.274,-15.625,0.023055926,0.017343858,-0.000863853,-0.016480005,0.072831893,0.000863853,2.69E-06,-0.023055926,-10.21,-9.93351906,-9.66,-9.385651529,0.268927981,0.00542049,14.8,-0.05848
2-3-4-5-6-NH2BAt,c1(N)c(N)c(N)c(N)c(N)c1([At]),At,NH2,NH2,NH2,23.8,2.227980075,2.2138,2.156,-7.652,C1,2.2213,0.0075,2.161,0.005,-4.464,3.0823,0.178,-14.593,0.0163,0.0116,-0.00108,-0.0105,0.0507,0.00108,2.54E-06,-0.0163,-5.62,-5.513338377,-5.17,-5.067200954,0.100022504,0.002776541,8.23,-0.03116
2-3-4-5-6-OHBAt,c1(O)c(O)c(O)c(O)c(O)c1([At]),At,OH,OH,OH,38.4,2.203031011,2.2001,2.302,-4.833,C1,2.2131,0.013,2.241,-0.061,-1.028,3.0128,0.193,-14.728,0.0185,0.0133,-0.00103,-0.0123,0.0575,0.00103,5.48E-10,-0.0185,-7.71,-7.575856682,-7.25,-7.114397268,0.134821044,0.000781689,10.01,-0.03968
2-3-4-5-6-SHBAt,c1(S)c(S)c(S)c(S)c(S)c1([At]),At,SH,SH,SH,36.2,2.204141146,2.2192,2.082,-7.027,C1,2.233,0.0138,2.034,-0.048,-2.951,2.9838,0.2,-15.431,0.0195,0.0141,-0.000995,-0.0131,0.0605,0.000995,2.35E-06,-0.0195,-7.95,-7.807500558,-7.45,-7.307452683,0.140543303,0.002004014,702.66,-0.04433
2-3-5-6-BH2BAt,c1(B)c(B)cc(B)c(B)c1([At]),At,BH2,BH2,H,27.1,2.234360337,2.2218,2.079,-13.04,C1,2.224,0.0022,2.151,0.072,-9.634,3.0666,0.181,-14.487,0.017,0.0119,-0.00104,-0.0109,0.0519,0.00104,1.11E-06,-0.017,-6.2,-6.093650377,-5.74,-5.630923663,0.107051238,0.002025099,8.77,-0.03361
2-3-5-6-ClBAt,c1(Cl)c(Cl)cc(Cl)c(Cl)c1([At]),At,Cl,Cl,H,38.7,2.163825101,2.196,2.364,-6.484,C1,2.2219,0.0259,2.145,-0.219,-1.588,2.9034,0.258,-15.719,0.022260478,0.016662313,-0.000910457,-0.015751856,0.070292088,0.000910457,1.97E-06,-0.022260478,-9.31,-9.079374464,-8.78,-8.548686193,0.225006081,0.006307725,13.65,-0.05596
2-3-5-6-CN-4-CF3BAt,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1([At]),At,CN,CN,CF3,56.7,2.135007933,2.183,2.485,-8.895,C1,2.2202,0.0372,2.094,-0.391,-3.678,2.812,0.297,-16.193,0.026697234,0.020163912,-0.000483353,-0.019680559,0.082590322,0.000483353,1.55E-06,-0.026697234,-13.09,-12.71586732,-12.52,-12.14512049,0.370142754,0.004736755,137.69,-0.07683
2-3-5-6-CN-4-NO2BAt,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1([At]),At,CN,CN,NO2,59.5,2.130657376,2.1826,2.49,-8.994,C1,2.2216,0.039,2.075,-0.415,-3.671,2.8017,0.305,-16.347,0.027260755,0.020605309,-0.000412151,-0.020193158,0.084071146,0.000412151,1.28E-06,-0.027260755,-13.56,-13.16205795,-12.96,-12.56441192,0.391045095,0.004542981,20.82,-0.07851
2-3-5-6-CNBAt,c1(C#N)c(C#N)cc(C#N)c(C#N)c1([At]),At,CN,CN,H,53.1,2.139761525,2.1852,2.477,-8.491,C1,2.2193,0.0341,2.131,-0.346,-3.496,2.8303,0.288,-15.96,0.025756198,0.019400745,-0.000584219,-0.018816525,0.079941053,0.000584219,1.13E-06,-0.025756198,-12.35,-12.02242351,-11.77,-11.43862121,0.32644864,0.004930154,16.91,-0.07239
2-3-5-6-F-4-CF3BAt,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1([At]),At,F,F,CF3,47.1,2.148192378,2.1774,2.564,-5.357,C1,2.2087,0.0313,2.245,-0.319,0.03,2.8721,0.278,-15.881,0.023609854,0.017776034,-0.00081757,-0.016958464,0.074375498,0.00081757,3.69E-07,-0.023609854,-10.72,-10.42356256,-10.18,-9.879335286,0.295902105,0.004762609,14.64,-0.06128
2-3-5-6-F-4-NO2BAt,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1([At]),At,F,F,NO2,50.1,2.143459037,2.1773,2.565,-5.433,C1,2.2105,0.0332,2.219,-0.346,0.086,2.8586,0.281,-16.09,0.024244127,0.018281706,-0.000760586,-0.01752112,0.076170288,0.000760586,9.35E-07,-0.024244127,-11.25,-10.9311299,-10.7,-10.37979157,0.31571258,0.004495855,15.32,-0.06432
2-3-5-6-FBAt,c1(F)c(F)cc(F)c(F)c1([At]),At,F,F,H,41.6,2.15527756,2.1793,2.556,-4.768,C1,2.2071,0.0278,2.284,-0.272,0.221,2.8976,0.267,-15.475,0.022474182,0.01686538,-0.000907248,-0.015958132,0.071091532,0.000907248,1.55E-06,-0.022474182,-9.74,-9.491677698,-9.2,-8.947470913,0.246968286,0.005560801,13.52,-0.05596
2-3-5-6-NH2BAt,c1(N)c(N)cc(N)c(N)c1([At]),At,NH2,NH2,H,23.9,2.226180354,2.212,2.162,-9.292,C1,2.2198,0.0078,2.165,0.003,-6.165,3.0768,0.18,-14.403,0.0165,0.0117,-0.00107,-0.0106,0.0512,0.00107,5.97E-07,-0.0165,-5.72,-5.614876316,-5.28,-5.176259878,0.100593538,0.003146584,8.33,-0.0317
2-3-5-6-OHBAt,c1(O)c(O)cc(O)c(O)c1([At]),At,OH,OH,H,39.1,2.203437747,2.2032,2.268,-6.935,C1,2.2158,0.0126,2.213,-0.055,-3.148,3.0109,0.194,-14.603,0.0186,0.0134,-0.00102,-0.0124,0.0576,0.00102,4.24E-10,-0.0186,-7.8,-7.660714791,-7.33,-7.193814751,0.135479929,0.000705321,10.04,-0.04014
2-3-5-6-SHBAt,c1(S)c(S)cc(S)c(S)c1([At]),At,SH,SH,H,35.6,2.202575891,2.2179,2.094,-8.393,Cs,2.232,0.0141,2.042,-0.052,-4.397,2.9867,0.198,-15.048,0.0194,0.014,-0.000998,-0.0131,0.0602,0.000998,8.92E-07,-0.0194,-7.86,-7.706496629,-7.36,-7.210015691,0.148117342,0.001866966,11.24,-0.0441
2-4-6_BH2_3-5_CNBAt,c1(B)c(C#N)c(B)c(C#N)c(B)c1([At]),At,BH2,CN,BH2,41.2,2.203531164,2.2133,2.161,-13.399,Cs,2.2235,0.0102,2.141,-0.02,-9.702,2.9738,0.219,-15.354,0.02,0.0144,-0.000945,-0.0135,0.0614,0.000945,8.67E-07,-0.02,-8.61,-8.464119157,-8.08,-7.937457327,0.141350907,0.001191766,11.65,-0.04679
2-4-6_BH2_3-5_FBAt,c1(B)c(F)c(B)c(F)c(B)c1([At]),At,BH2,F,BH2,31.8,2.198926062,2.2181,2.103,-13.951,C1,2.232,0.0139,2.031,-0.072,-10.709,2.9822,0.199,-14.803,0.0194,0.0142,-0.00102,-0.0131,0.0607,0.00102,4.99E-07,-0.0194,-7.51,-7.360366782,-6.99,-6.840467247,0.145263429,0.004269324,10.72,-0.04429
2-4-6_BH2_3-5_NO2BAt,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1([At]),At,BH2,NO2,BH2,36.5,2.195523817,2.1953,2.371,-12.171,C1,2.2085,0.0132,2.309,-0.062,-8.338,2.9766,0.207,-15.194,0.0197,0.0143,-0.000996,-0.0133,0.0613,0.000996,7.75E-07,-0.0197,-8.07,-7.928299275,-7.58,-7.437122048,0.140454824,0.002423128,11.52,-0.04443
2-4-6_NH2_3-5_CNBAt,c1(N)c(C#N)c(N)c(C#N)c(N)c1([At]),At,NH2,CN,NH2,37.1,2.203709285,2.2011,2.299,-5.082,C1,2.2141,0.013,2.244,-0.055,-1.173,3.0159,0.191,-15.035,0.0183,0.0133,-0.00105,-0.0122,0.0572,0.00105,8.23E-07,-0.0183,-7.49,-7.357790228,-7,-6.871612498,0.127422707,0.000964796,10.23,-0.03919
2-4-6_NH2_3-5_FBAt,c1(N)c(F)c(N)c(F)c(N)c1([At]),At,NH2,F,NH2,28.4,2.210531618,2.1989,2.312,-5.232,C1,2.2107,0.0118,2.264,-0.048,-1.919,3.0442,0.185,-14.558,0.0174,0.0125,-0.00108,-0.0114,0.0543,0.00108,1.91E-07,-0.0174,-6.43,-6.318003849,-5.98,-5.864817243,0.112267097,0.00291566,9.2,-0.035
2-4-6_NH2_3-5_NO2BAt,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1([At]),At,NH2,NO2,NH2,39.6,2.203478998,63.5711,3.638,-4.859,C1,2.2288,-61.3423,2.111,-1.527,-0.846,2.9973,0.197,-15.184,0.019,0.0138,-0.00102,-0.0127,0.0591,0.00102,6.61E-07,-0.019,-7.99,-7.846333293,-7.49,-7.347784384,0.143486322,-0.001270707,281.43,-0.0415
2-4-6_OH_3-5_CNBAt,c1(O)c(C#N)c(O)c(C#N)c(O)c1([At]),At,OH,CN,OH,51.9,2.179247401,2.1993,2.344,-4.905,C1,2.2193,0.02,2.202,-0.142,-0.231,2.9378,0.242,-15.716,0.0213,0.0155,-0.000904,-0.0146,0.0658,0.000904,9.04E-07,-0.0213,-10.04,-9.839991279,-9.52,-9.324665266,0.195102116,0.000232618,12.95,-0.05161
2-4-6_OH_3-5_FBAt,c1(O)c(F)c(O)c(F)c(O)c1([At]),At,OH,F,OH,42.3,2.192177112,2.1999,2.323,-4.444,C1,2.216,0.0161,2.222,-0.101,-0.476,2.9831,0.207,-14.835,0.0196,0.0142,-0.000996,-0.0132,0.0607,0.000996,1.18E-06,-0.0196,-8.49,-8.337197015,-8.01,-7.859512617,0.149786518,0.000700865,11.02,-0.04385
2-4-6_SH_3-5_CNBAt,c1(S)c(C#N)c(S)c(C#N)c(S)c1([At]),At,SH,CN,SH,46.8,2.18688906,2.21,2.19,-6.834,C1,2.2291,0.0191,2.074,-0.116,-2.527,2.9389,0.235,-15.765,0.0212,0.0155,-0.000912,-0.0146,0.0657,0.000912,5.38E-07,-0.0212,-9.53,-9.342752751,-9,-8.813565422,0.185680061,0.000754517,13.16,-0.05199
2-4-6_SH_3-5_FBAt,c1(S)c(F)c(S)c(F)c(S)c1([At]),At,SH,F,SH,39.1,2.19562196,2.2057,2.224,-6.411,C1,2.2219,0.0162,2.134,-0.09,-2.645,2.9719,0.209,-15.096,0.0199,0.0145,-0.000985,-0.0135,0.0619,0.000985,7.72E-07,-0.0199,-8.37,-8.216517526,-7.86,-7.710176083,0.148280495,0.001543422,11.72,-0.0459
2-4-6-BH2BAt,c1(B)cc(B)cc(B)c1([At]),At,BH2,H,BH2,26.1,2.212859829,2.2207,2.066,-14.977,C1,2.2296,0.0089,2.051,-0.015,-11.994,3.0259,0.182,-14.605,0.018,0.0129,-0.00105,-0.0119,0.056,0.00105,1.09E-06,-0.018,-6.47,-6.34634908,-5.98,-5.855249731,0.120094651,0.004655618,9.34,-0.03835
2-4-6-ClBAt,c1(Cl)cc(Cl)cc(Cl)c1([At]),At,Cl,H,Cl,36.5,2.166365297,2.1911,2.413,-5.933,C1,2.2145,0.0234,2.217,-0.196,-1.548,2.9234,0.244,-15.417,0.021437733,0.015996656,-0.00096171,-0.015034946,0.067834427,0.00096171,1.44E-06,-0.021437733,-8.75,-8.534545615,-8.23,-8.013527922,0.210466686,0.006005391,12.87,-0.05189
2-4-6-CN-3-5-CF3BAt,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1([At]),At,CN,CF3,CN,54.2,2.138438994,2.1844,2.464,-8.787,C1,2.2204,0.036,2.089,-0.375,-3.83,2.8202,0.292,-16.136,0.026253504,0.019819319,-0.000536279,-0.01928304,0.081423629,0.000536279,5.34E-07,-0.026253504,-12.68,-12.31499542,-12.09,-11.72873406,0.356073991,0.005191951,0.6,-0.07337
2-4-6-CN-3-5-NO2BAt,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1([At]),At,CN,NO2,CN,60.2,2.130319117,2.1813,2.487,-8.967,C1,2.2214,0.0401,2.055,-0.432,-3.47,2.7949,0.31,-16.452,0.027637223,0.020901055,-0.00036304,-0.020538015,0.085057717,0.00036304,1.88E-06,-0.027637223,-13.79,-13.37758864,-13.2,-12.78571854,0.409531525,0.004749933,638.32,-0.08011
2-4-6-CNBAt,c1(C#N)cc(C#N)cc(C#N)c1([At]),At,CN,H,CN,47.6,2.150400862,2.1835,2.48,-8.724,C1,2.2122,0.0287,2.2,-0.28,-4.329,2.8657,0.28,-15.715,0.024075767,0.018021525,-0.000741148,-0.017280378,0.075051785,0.000741148,2.96E-07,-0.024075767,-11.08,-10.81806022,-10.53,-10.27097901,0.254241122,0.004779865,15.06,-0.06377
2-4-6-F-3-5-CF3BAt,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1([At]),At,F,CF3,F,47.8,2.145752108,2.1778,2.582,-3.826,C1,2.2103,0.0325,2.249,-0.333,1.669,2.8651,0.28,-15.974,0.023906311,0.018043979,-0.00079595,-0.017248029,0.075360817,0.00079595,2.17E-06,-0.023906311,-10.97,-10.64126443,-10.4,-10.07622574,0.318975629,0.004798628,15.98,-0.06252
2-4-6-F-3-5-NO2BAt,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1([At]),At,F,NO2,F,53.6,2.137039394,2.1791,2.568,-3.826,C1,2.216,0.0369,2.178,-0.39,2.323,2.8344,0.286,-16.344,0.025392183,0.019228997,-0.000652123,-0.018576874,0.07952567,0.000652123,1.98E-06,-0.025392183,-12.1,-11.72401325,-11.53,-11.15496763,0.370443958,0.004588412,16.73,-0.06988
2-4-6-FBAt,c1(F)cc(F)cc(F)c1([At]),At,F,H,F,37.2,2.162448306,2.1795,2.567,-3.817,C1,2.2043,0.0248,2.335,-0.232,0.81,2.9237,0.246,-15.253,0.021378137,0.015984941,-0.000975082,-0.015009859,0.067841057,0.000975082,1.23E-06,-0.021378137,-8.86,-8.639322132,-8.34,-8.120313568,0.213884731,0.005801702,13.16,-0.05082
2-4-6-NH2BAt,c1(N)cc(N)cc(N)c1([At]),At,NH2,H,NH2,22.2,2.225235845,2.2072,2.204,-6.16,Cs,2.2152,0.008,2.21,0.006,-3.095,3.0854,0.177,-14.368,0.0162,0.0115,-0.00108,-0.0104,0.0504,0.00108,1.94E-06,-0.0162,-5.46,-5.356914063,-5.02,-4.914884503,0.101641479,0.003474018,8.13,-0.03039
2-4-6-OHBAt,c1(O)cc(O)cc(O)c1([At]),At,OH,H,OH,35.5,2.205899177,2.2044,2.256,-5.186,C1,2.2163,0.0119,2.213,-0.043,-1.573,3.026,0.19,-14.563,0.0181,0.013,-0.00104,-0.0119,0.0561,0.00104,2.58E-06,-0.0181,-7.35,-7.223651914,-6.88,-6.753088023,0.12582444,0.001087537,9.72,-0.0379
2-4-6-SHBAt,c1(S)cc(S)cc(S)c1([At]),At,SH,H,SH,33.9,2.206573869,2.21,2.166,-6.822,C1,2.2225,0.0125,2.124,-0.042,-3.277,3.0051,0.192,-14.848,0.0187,0.0135,-0.00102,-0.0125,0.0583,0.00102,2.23E-06,-0.0187,-7.48,-7.348395783,-6.98,-6.846519819,0.131588742,0.001891439,10.62,-0.04109
2-6_NH2_3-4-5_CNBAt,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1([At]),At,NH2,CN,CN,47.5,2.189755864,2.1996,2.303,-7.528,C1,2.2163,0.0167,2.191,-0.112,-3.224,2.9694,0.224,-15.511,0.02,0.0146,-0.000978,-0.0136,0.0622,0.000978,2.04E-06,-0.02,-9.01,-8.850305321,-8.49,-8.334409208,0.154700545,0.000890248,11.89,-0.04655
2-6_NH2_3-4-5_FBAt,c1(N)c(F)c(F)c(F)c(N)c1([At]),At,NH2,F,F,34.2,2.202372719,2.1989,2.319,-6.416,C1,2.2125,0.0136,2.25,-0.069,-2.944,3.0178,0.189,-14.403,0.0182,0.0132,-0.00105,-0.0121,0.057,0.00105,1.12E-06,-0.0182,-7.21,-7.078812054,-6.74,-6.611661004,0.12630072,0.002038276,9.98,-0.0386
2-6_NH2_3-5_CN_4_NO2BAt,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1([At]),At,NH2,CN,NO2,47.9,2.188323749,2.1996,2.315,-7.422,C1,2.2169,0.0173,2.207,-0.108,-3.207,2.9635,0.219,-15.382,0.0203,0.0147,-0.000971,-0.0138,0.0629,0.000971,1.07E-06,-0.0203,-9.11,-8.954637498,-8.6,-8.440089307,0.159679205,0.000231488,12.12,-0.04737
2-6_NH2_3-5_F_4_NO2BAt,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1([At]),At,NH2,F,NO2,40.2,2.194162767,2.1972,2.328,-7.67,C1,2.2128,0.0156,2.233,-0.095,-3.99,2.9887,0.201,-14.861,0.0193,0.014,-0.00102,-0.013,0.0601,0.00102,2.77E-06,-0.0193,-8.08,-7.933322488,-7.6,-7.450398096,0.14828677,0.001315134,10.98,-0.04285
2-6_NH2_3-5_NO2_4_CNBAt,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1([At]),At,NH2,NO2,CN,48.6,2.188844475,2.2051,2.261,-7.24,C1,2.2233,0.0182,2.144,-0.117,-2.97,2.9558,0.224,-15.601,0.0206,0.015,-0.000948,-0.014,0.0637,0.000948,7.55E-07,-0.0206,-9.32,-9.143041578,-8.8,-8.62774061,0.172025454,0.000233936,12.41,-0.04872
2-6_NH2_3-5_NO2_4_FBAt,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1([At]),At,NH2,NO2,F,44.6,2.193698116,2.2068,2.256,-6.173,C1,2.2234,0.0166,2.159,-0.097,-2.042,2.9742,0.211,-15.133,0.0198,0.0144,-0.000986,-0.0134,0.0616,0.000986,3.01E-06,-0.0198,-8.69,-8.534200485,-8.2,-8.040108571,0.159468989,0.000422439,11.65,-0.04559
