Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-3-4-5-6-BH2BBr,c1(B)c(B)c(B)c(B)c(B)c1(Br),Br,BH2,BH2,BH2,14.8,2.057113599,1.9047,2.836,-12.65,C1,1.9018,-0.0029,2.887,0.051,-11.657,3.0602,0.116,-9.668,0.0134,0.00934,-0.00124,-0.0081,0.0423,0.00124,1.70E-06,-0.0134,-3.08,-3.036918131,-2.7,-2.661666888,0.036263774,0.002069338,4.04,-0.01634
2-3-4-5-6-ClBBr,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(Br),Br,Cl,Cl,Cl,23.8,2.022727133,1.8832,3.289,-6.793,C1,1.8891,0.0059,3.185,-0.104,-4.55,2.9483,0.154,-11.085,0.016281453,0.011621003,-0.001367774,-0.010253229,0.051955108,0.001367774,1.80E-06,-0.016281453,-4.61,-4.558796026,-4.19,-4.142934779,0.045375212,0.001690009,10571.03,-0.02425
2-3-4-5-6-CNBBr,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(Br),Br,CN,CN,CN,41.7,2.000901047,1.8703,3.488,-9.367,C1,1.8796,0.0093,3.254,-0.234,-6.586,2.8421,0.199,-11.925,0.020173827,0.014363,-0.001352531,-0.013010469,0.062862127,0.001352531,2.83E-06,-0.020173827,-7.52,-7.457268681,-7.03,-6.965281306,0.064438951,0.000279744,7.98,-0.0385
2-3-4-5-6-FBBr,c1(F)c(F)c(F)c(F)c(F)c1(Br),Br,F,F,F,26.5,2.017696968,1.8764,3.5,-5.725,C1,1.8848,0.0084,3.324,-0.176,-3.166,2.9325,0.159,-11.084,0.016757449,0.011977978,-0.00137572,-0.010602258,0.053414792,0.00137572,1.93E-06,-0.016757449,-5.03,-4.968484428,-4.59,-4.533091916,0.055515765,0.001392318,6.1,-0.02586
2-3-4-5-6-NH2BBr,c1(N)c(N)c(N)c(N)c(N)c1(Br),Br,NH2,NH2,NH2,11.4,2.065244749,1.9139,2.868,-6.531,C1,1.9135,-0.0004,2.913,0.045,-5.223,3.1093,0.102,-9.958,0.0203,0.0304,-0.00853,-0.0219,0.156,0.00853,1.01E-06,0.0203,-2.45,-2.417082257,-2.11,-2.074873712,0.034107651,0.001018636,3.42,-0.01307
2-3-4-5-6-OHBBr,c1(O)c(O)c(O)c(O)c(O)c1(Br),Br,OH,OH,OH,25.1,2.04816423,1.9033,3.057,-4.915,C1,1.9052,0.0019,3.062,0.005,-3.135,3.0359,0.13,-10.436,0.014,0.00983,-0.00127,-0.00856,0.0444,0.00127,3.19E-06,-0.014,-4.01,-3.972877855,-3.64,-3.598048794,0.042036861,-8.57E-05,4.4,-0.01774
2-3-4-5-6-SHBBr,c1(S)c(S)c(S)c(S)c(S)c1(Br),Br,SH,SH,SH,23.6,2.049271977,1.9091,2.852,-6.031,C1,1.9101,0.001,2.877,0.025,-4.241,3.0212,0.137,-10.67,0.0144,0.0101,-0.00128,-0.00885,0.0456,0.00128,6.06E-07,-0.0144,-4.07,-3.913609583,-3.68,-3.524449619,0.155716482,-0.000166102,1462.58,-0.01777
2-3-5-6-BH2BBr,c1(B)c(B)cc(B)c(B)c1(Br),Br,BH2,BH2,H,15.5,2.064501903,1.9246,2.724,-9.99,C1,1.9213,-0.0033,2.826,0.102,-8.499,3.0685,0.113,-9.846,0.0133,0.0092,-0.00123,-0.00797,0.0417,0.00123,5.45E-07,-0.0133,-3.12,-3.0801226,-2.75,-2.708387021,0.040822003,0.000790976,3.9,-0.01597
2-3-5-6-ClBBr,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(Br),Br,Cl,Cl,H,22.3,2.024802418,1.8844,3.274,-6.962,C1,1.8899,0.0055,3.175,-0.099,-4.831,2.957,0.153,-10.878,0.016020775,0.011420799,-0.001361713,-0.010059087,0.051130048,0.001361713,2.60E-06,-0.016020775,-4.42,-4.378606673,-4.02,-3.974334188,0.043687211,0.0019786,5.65,-0.02354
2-3-5-6-CN-4-CF3BBr,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(Br),Br,CN,CN,CF3,39.5,2.002258402,1.8713,3.475,-9.017,C1,1.8804,0.0091,3.253,-0.222,-6.286,2.8484,0.194,-11.769,0.019903826,0.01418295,-0.001360436,-0.012822514,0.062173543,0.001360436,7.00E-07,-0.019903826,-7.28,-7.209954637,-6.79,-6.724014364,0.065493166,0.000492469,117.74,-0.03658
2-3-5-6-CN-4-NO2BBr,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(Br),Br,CN,CN,NO2,42,2.000208493,1.8704,3.499,-9.154,C1,1.8802,0.0098,3.249,-0.25,-6.342,2.8382,0.202,-11.931,0.020327798,0.014469997,-0.001348533,-0.013121465,0.06327412,0.001348533,8.99E-07,-0.020327798,-7.61,-7.538016604,-7.11,-7.042857048,0.066810936,0.000332015,8.07,-0.03904
2-3-5-6-CNBBr,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(Br),Br,CN,CN,H,36.1,2.006305807,1.8746,3.447,-8.53,C1,1.8828,0.0082,3.25,-0.197,-5.962,2.8658,0.182,-11.524,0.019217867,0.013702316,-0.001371786,-0.01233053,0.06029641,0.001371786,1.24E-06,-0.019217867,-6.78,-6.722856663,-6.3,-6.242697778,0.056576257,0.000725966,7.35,-0.03506
2-3-5-6-F-4-CF3BBr,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(Br),Br,F,F,CF3,29.6,2.01484061,1.8732,3.516,-7.215,C1,1.8817,0.0085,3.326,-0.19,-4.641,2.9195,0.162,-11.177,0.017212331,0.012294961,-0.00137836,-0.010916601,0.054693285,0.00137836,1.14E-06,-0.017212331,-5.42,-5.357188913,-4.98,-4.918092674,0.061037849,0.000869477,6.12,-0.02806
